author,total_messages,total_questions,total_exclaims,avg_length,emoji_ratio
carefree-lark,26,26,0,91.96153846153847,0.038461538461538464
ebullient-mosquito,30,18,12,65.9,0.23333333333333334
happy-beaver,16,5,11,166.0625,0.25
kooky-tapir,41,0,41,72.48780487804878,0.0
limber-ostrich,22,10,12,79.5,0.09090909090909091
peppy-rat,28,4,25,77.5,0.35714285714285715
saturated-whistling duck,27,17,13,73.96296296296296,0.037037037037037035
